;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company
0;'98 Koshien;PlayStation;1998;Magical Company;0.4;0.15;0.1;0.12;0.03;5th Gen;Home Console;Sony
1;.hack//G.U. Last Recode;PlayStation 4;2017;CyberConnect2;0.25;0.1;0.04;0.08;0.03;8th Gen;Home Console;Sony
2;.hack//G.U. Vol.1//Rebirth;PlayStation 2;2006;CyberConnect2;0.17;0.0;0.0;0.17;0.0;6th Gen;Home Console;Sony
3;.hack//G.U. Vol.2//Reminisce;PlayStation 2;2007;CyberConnect2;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony
4;.hack//G.U. Vol.2//Reminisce (jp sales);PlayStation 2;2007;CyberConnect2;0.16;0.0;0.0;0.16;0.0;6th Gen;Home Console;Sony
5;.hack//G.U. Vol.3//Redemption;PlayStation 2;2007;CyberConnect2;0.17;0.0;0.0;0.17;0.0;6th Gen;Home Console;Sony
6;.hack//Infection Part 1;PlayStation 2;2003;CyberConnect2;1.26;0.49;0.38;0.26;0.13;6th Gen;Home Console;Sony
7;.hack//Link;PlayStation Portable;2010;CyberConnect2;0.14;0.0;0.0;0.14;0.0;6th Gen;Handheld;Sony
8;.hack//Mutation Part 2;PlayStation 2;2003;CyberConnect2;0.67;0.23;0.18;0.2;0.06;6th Gen;Home Console;Sony
9;.hack//Outbreak Part 3;PlayStation 2;2003;CyberConnect2;0.46;0.14;0.11;0.17;0.04;6th Gen;Home Console;Sony
10;.hack//Quarantine Part 4: The Final Chapter;PlayStation 2;2004;CyberConnect2;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony
11;.hack: Sekai no Mukou ni + Versus;PlayStation 3;2012;CyberConnect2;0.03;0.0;0.0;0.03;0.0;7th Gen;Home Console;Sony
12;0-ji no Kane to Cinderella: Halloween Wedding;PlayStation Portable;2013;Unknown;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony
13;007 Legends;PlayStation 3;2012;Eurocom;0.34;0.11;0.17;0.0;0.06;7th Gen;Home Console;Sony
14;007 Legends;Wii U;2012;Eurocom;0.13;0.06;0.06;0.0;0.01;8th Gen;Home Console;Nintendo
15;007 Legends;Xbox 360;2012;Eurocom;0.28;0.13;0.13;0.0;0.02;7th Gen;Home Console;Microsoft
16;007 Racing;PlayStation;2000;Eutechnyx;0.53;0.3;0.2;0.0;0.03;5th Gen;Home Console;Sony
17;007: Quantum of Solace;Nintendo DS;2008;Vicarious Visions;0.13;0.11;0.01;0.0;0.01;7th Gen;Handheld;Nintendo
18;007: Quantum of Solace;PlayStation 2;2008;Treyarch;0.43;0.17;0.0;0.0;0.26;6th Gen;Home Console;Sony
19;007: Quantum of Solace;PlayStation 3;2008;Treyarch;1.15;0.43;0.51;0.02;0.19;7th Gen;Home Console;Sony
20;007: Quantum of Solace;Wii;2008;Beenox;0.65;0.29;0.28;0.01;0.07;7th Gen;Home Console;Nintendo
21;007: Quantum of Solace;Xbox 360;2008;Treyarch;1.48;0.82;0.51;0.01;0.14;7th Gen;Home Console;Microsoft
22;007: The World is Not Enough;Nintendo 64;2000;Eurocom Entertainment Software;1.56;1.13;0.38;0.02;0.03;5th Gen;Home Console;Nintendo
23;007: The World is not Enough;Nintendo 64;2000;;1.56;1.13;0.38;0.02;0.03;5th Gen;Home Console;Nintendo
24;007: The World is not Enough;PlayStation;2000;Black Ops Entertainment;0.92;0.51;0.35;0.0;0.06;5th Gen;Home Console;Sony
25;007: Tomorrow Never Dies;PlayStation;1999;Black Ops Entertainment;3.21;1.72;1.33;0.0;0.16;5th Gen;Home Console;Sony
26;1 vs. 100;Nintendo DS;2008;ECI;0.09;0.08;0.0;0.0;0.01;7th Gen;Handheld;Nintendo
27;1/2 Summer +;PlayStation Portable;2013;Unknown;0.01;0.0;0.0;0.01;0.0;6th Gen;Handheld;Sony
28;10 Minute Solution;Wii;2010;Anchor Bay Entertainment;0.08;0.06;0.01;0.0;0.01;7th Gen;Home Console;Nintendo
29;100 All-Time Favorites;Nintendo DS;2009;Ubisoft;0.51;0.35;0.12;0.0;0.04;7th Gen;Handheld;Nintendo
30;100 Classic Books;Nintendo DS;2010;Genius Sonority Inc.;0.66;0.12;0.52;0.0;0.02;7th Gen;Handheld;Nintendo
31;100 Classic Books;Nintendo DS;2008;;0.67;0.13;0.52;0.0;0.02;7th Gen;Handheld;Nintendo
