Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
.hack//G.U. Last Recode;PlayStation 4;2017;CyberConnect2;0.25;0.1;0.04;0.08;0.03;8th Gen;Home Console;Sony;.hack//g.u. last recode
.hack//G.U. Vol.2//Reminisce;PlayStation 2;2007;CyberConnect2;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;.hack//g.u. vol.2//reminisce
.hack//Infection Part 1;PlayStation 2;2003;CyberConnect2;1.26;0.49;0.38;0.26;0.13;6th Gen;Home Console;Sony;.hack//infection part 1
.hack//Mutation Part 2;PlayStation 2;2003;CyberConnect2;0.67;0.23;0.18;0.2;0.06;6th Gen;Home Console;Sony;.hack//mutation part 2
.hack//Outbreak Part 3;PlayStation 2;2003;CyberConnect2;0.46;0.14;0.11;0.17;0.04;6th Gen;Home Console;Sony;.hack//outbreak part 3
.hack//Quarantine Part 4: The Final Chapter;PlayStation 2;2004;CyberConnect2;0.18;0.09;0.07;0.0;0.02;6th Gen;Home Console;Sony;.hack//quarantine part 4 the final chapter
007 Legends;PlayStation 3;2012;Eurocom;0.34;0.11;0.17;0.0;0.06;7th Gen;Home Console;Sony;007 legends
007 Legends;Wii U;2012;Eurocom;0.13;0.06;0.06;0.0;0.01;8th Gen;Home Console;Nintendo;007 legends
007 Legends;Xbox 360;2012;Eurocom;0.28;0.13;0.13;0.0;0.02;7th Gen;Home Console;Microsoft;007 legends
007: Quantum of Solace;Nintendo DS;2008;Vicarious Visions;0.13;0.11;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;007 quantum of solace
007: Quantum of Solace;PlayStation 3;2008;Treyarch;1.15;0.43;0.51;0.02;0.19;7th Gen;Home Console;Sony;007 quantum of solace
007: Quantum of Solace;Wii;2008;Beenox;0.65;0.29;0.28;0.01;0.07;7th Gen;Home Console;Nintendo;007 quantum of solace
007: Quantum of Solace;Xbox 360;2008;Treyarch;1.48;0.82;0.51;0.01;0.14;7th Gen;Home Console;Microsoft;007 quantum of solace
007 Racing;PlayStation;2000;Eutechnyx;0.53;0.3;0.2;0.0;0.03;5th Gen;Home Console;Sony;007 racing
